source,target,relation
Traveler,Wolfhook Seeds,has
Boreas,Wolvendom,member_of
Traveler,Boreas,knows
Razor,Boreas,knows
Amber,Boreas,knows
Traveler,Spar,participates_in
Boreas,Spar,participates_in
Razor,Main Character,plays_role
Traveler,The Meaning of Lupical,participates_in
Paimon,The Meaning of Lupical,participates_in
Amber,The Meaning of Lupical,participates_in
Boreas,The Meaning of Lupical,participates_in
The Meaning of Lupical,Mondstadt,occurs_in
The Meaning of Lupical,Wolvendom,occurs_in
The Meaning of Lupical,Springvale,occurs_in
The Meaning of Lupical,Drunkard Gorge,occurs_in
Traveler,Paimon,knows
Traveler,Amber,knows
Traveler,Razor,knows
Traveler,Boreas,knows
Amber,Razor,knows
Razor,Wolf Pack,member_of
Boreas,Wolf Pack,member_of
The Meaning of Lupical,Investigating wolf attacks,includes
The Meaning of Lupical,Helping Razor find raw meat,includes
The Meaning of Lupical,Confronting Boreas,includes
The Meaning of Lupical,Adventure Rank 21 Requirement,has_attribute
The Meaning of Lupical,Prologue: Act III - Song of the Dragon and Freedom,after
The Meaning of Lupical,"Lepus Chapter: Act I - Wind, Courage, and Wings",after
Razor,Wolfhook Seeds,has
Traveler,Raw Meat,has
"Autumn Winds, Scarlet Leaves",Prologue,plays_role
"Autumn Winds, Scarlet Leaves",Chapter II,includes
"Autumn Winds, Scarlet Leaves",We Will Be Reunited,after
"Autumn Winds, Scarlet Leaves",The Immovable God and the Eternal Euthymia,before
Traveler,Liyue Harbor,occurs_in
Traveler,Paimon,knows
Traveler,Sibling,knows
Traveler,Abyss Order,opposes
Traveler,Unknown God,opposes
Traveler,Atsuko,knows
Atsuko,Inazuma,from
Inazuma,strict isolationist policies,has_attribute
Traveler,Beidou,knows
Beidou,The Crux,member_of
Alcor,Guyun Stone Forest,occurs_in
Alcor,The Crux Fleet,member_of
Beidou,Ningguang,knows
Beidou,Kazuha,knows
Kazuha,The Crux Fleet,member_of
Traveler,The Crux Clash,participates_in
The Crux Clash,Vision-less martial arts tournament,has_attribute
Masterless Vision,Kazuha,has
Traveler,The Crux Clash,participates_in
Traveler,Inazuma,occurs_in
Traveler,Zhuhan,knows
Zhuhan,The Crux,member_of
Traveler,ancient god,opposes
Traveler,Jinyou,opposes
Traveler,Rongshi,opposes
Traveler,Kazuha,knows
Traveler,Slimes,opposes
Kazuha,Electro Archon,knows
Fei the Flyer,Culprit,plays_role
Fei the Flyer,Treasure Hoarders,member_of
Fei the Flyer,Tournament,participates_in
Traveler,Fei the Flyer,opposes
Traveler,Rongshi,opposes
Kazuha,Fei the Flyer,opposes
Kazuha,Vision,has
Raiden Shogun,Vision Hunt Decree,has_attribute
Kazuha's Friend,Raiden Shogun,opposes
Kazuha,Traveler,knows
Kazuha,Paimon,knows
Beidou,Ningguang,knows
Kazuha,Beidou,knows
Traveler,Tournament Champion,plays_role
Alcor,Liyue,occurs_in
"Autumn Winds, Scarlet Leaves",Liyue,occurs_in
Kazuha,"Autumn Winds, Scarlet Leaves",participates_in
Traveler,"Autumn Winds, Scarlet Leaves",participates_in
Traveler,Visit Ritou,participates_in
Chisato,Traveler,knows
Chisato,Ritou,from
Traveler,Kamaji,knows
Traveler,Meet Thoma,participates_in
Thoma,Kamisato Clan,member_of
Thoma,Traveler,knows
Traveler,Visit Statue of the Omnipresent God,participates_in
Raiden Shogun,Vision Hunt Decree,has_attribute
Traveler,Meet Ayaka,participates_in
Ayaka,Kamisato Clan,member_of
Ayaka,Traveler,knows
Traveler,Help Visionless people,participates_in
Traveler,Visit Konda Village,participates_in
Mahiru,Konda Village,from
Kenjirou,Konda Village,from
Tejima,Konda Village,from
Tejima,Visionless,has_attribute
Traveler,Help Tejima,participates_in
Traveler,Visit Inazuma City,participates_in
Kurosawa Kyounosuke,Inazuma City,from
Kurosawa Kyounosuke,Visionless,has_attribute
Traveler,Help Kurosawa Kyounosuke,participates_in
Traveler,Treasure Hoarders,opposes
Tadao,Treasure Hoarders,member_of
Traveler,Aoi,knows
Aoi,Tsukumomono Groceries,from
Traveler,Visit Swordmaster,participates_in
Domon,Inazuma City,from
Domon,Visionless,has_attribute
Junya,Domon,knows
Traveler,Help Domon,participates_in
Grand Narukami Shrine,Inazuma City,occurs_in
Traveler,Anzai,knows
Anzai,Domon,knows
Inagi Hotomi,Maiden,plays_role
Inagi Hotomi,Domon,knows
Lady Yae,Domon,knows
Domon,Vision,has
Anzai,Domon,knows
Anzai,passed aspirations,has_attribute
Domon,lost aspirations,has_attribute
Disciples,Domon,knows
Lady Yae,Traveler,knows
Paimon,Traveler,knows
Paimon,Ayaka,knows
Ayaka,Traveler,knows
Traveler,helping former Vision bearers,participates_in
Master Masakatsu,arrested,has_attribute
Master Masakatsu,craftsman,plays_role
Ayaka,Master Masakatsu,knows
Ayaka,Thoma,knows
Traveler,rescuing Master Masakatsu,participates_in
Naganohara Fireworks,location,has_attribute
Tenryou Commission,Vision bearers,opposes
Yoimiya,Traveler,knows
Yoimiya,Paimon,knows
Yoimiya,fireworks maker,has_attribute
Yoimiya,Ayaka,knows
Yoimiya,Master Masakatsu,knows
Kujou Sara,Tenryou Commission,member_of
Kujou Sara,Master Masakatsu,knows
Kujou Sara,Yoimiya,knows
Kujou Sara,Traveler,knows
Thoma,Traveler,knows
Thoma,Ayaka,knows
Tenryou Commission,ceremony,participates_in
Traveler,hot pot game,participates_in
Ayaka,hot pot game,participates_in
Thoma,hot pot game,participates_in
Yoimiya,fake vision,has
The Immovable God and the Eternal Euthymia,7 Achievements,includes
"Stillness, the Sublimation of Shadow",Act,plays_role
"Stillness, the Sublimation of Shadow",Inazuma,occurs_in
"Stillness, the Sublimation of Shadow",Chapter II,member_of
"Stillness, the Sublimation of Shadow",The Immovable God and the Eternal Euthymia,after
Omnipresence Over Mortals,"Stillness, the Sublimation of Shadow",after
"Stillness, the Sublimation of Shadow",Archon Quest,has_attribute
Traveler,"Stillness, the Sublimation of Shadow",participates_in
Paimon,"Stillness, the Sublimation of Shadow",participates_in
Kamisato Ayaka,"Stillness, the Sublimation of Shadow",participates_in
Thoma,"Stillness, the Sublimation of Shadow",participates_in
Raiden Shogun,"Stillness, the Sublimation of Shadow",participates_in
Teppei,"Stillness, the Sublimation of Shadow",participates_in
Gorou,"Stillness, the Sublimation of Shadow",participates_in
Kujou Sara,"Stillness, the Sublimation of Shadow",participates_in
Sangonomiya Kokomi,"Stillness, the Sublimation of Shadow",participates_in
Beidou,"Stillness, the Sublimation of Shadow",participates_in
Kaedehara Kazuha,"Stillness, the Sublimation of Shadow",participates_in
Vision Hunt Decree,Inazuma,occurs_in
Watatsumi Army,Vision Hunt Decree,opposes
Shogun's Army,Kujou Sara,knows
Traveler,Electro powers,has
Raiden Shogun,Traveler,opposes
Watatsumi Army,Resistance,member_of
Gorou,Resistance,member_of
Sangonomiya Kokomi,Resistance,member_of
Teppei,Resistance,member_of
Traveler,Teppei,knows
Traveler,Gorou,knows
Traveler,Sangonomiya Kokomi,knows
Grus Nivis Chapter: Act I - The Whispers of the Crane and the White Rabbit,"Stillness, the Sublimation of Shadow",before
Carassius Auratus Chapter: Act I - Dreamlike Timelessness,"Stillness, the Sublimation of Shadow",before
Kamisato Ayaka,Story Quest,has_attribute
Traveler,Grus Nivis Chapter,participates_in
Kamisato Ayaka,Grus Nivis Chapter,participates_in
Traveler,Kamisato Ayaka,knows
Kamisato Ayaka,Tsubaki,knows
Kamisato Ayaka,Traveler,knows
Kamisato Ayaka,Inazuma,from
Ogura Mio,Inazuma,from
Kimono,Inazuma,from
Silk,Liyue,from
International Trade Association,Ritou,from
Kurisu,Ritou,from
Kanjou Commission,Inazuma,from
Ronin,Inazuma,from
Kiminami Anna,Inazuma,from
Kiminami Restaurant,Inazuma,from
Mushroom Pizza,Inazuma,from
Tsubaki,Inazuma,from
Ogura Textiles & Kimonos,Inazuma,occurs_in
Ritou,Inazuma,occurs_in
Tenshukaku,Inazuma,occurs_in
Komore Teahouse,Inazuma,occurs_in
Kamisato Ayaka,Kamisato Clan,member_of
Kamisato Ayaka,Kanjou Commission,member_of
Traveler,Paimon,knows
Kamisato Ayaka,Paimon,knows
Grus Nivis Chapter,Inazuma,occurs_in
Traveler,Amakane Island Festival,participates_in
Paimon,Amakane Island Festival,participates_in
Ayaka,Amakane Island Festival,participates_in
Amakane Island Festival,Amakane Island,occurs_in
Ayaka,Sudden Appearance,has_attribute
Merchants,Amakane Island Festival,participates_in
Ayaka,Traveler,knows
Traveler,Ayaka,knows
Traveler,Reunite with their sibling,has_attribute
Ayaka,Dance,performs
Dance,Way back to Kamisato Residence,occurs_in
Kamisato Ayaka,Quest,has_attribute
Grus Nivis,The Whispers of the Crane and the White Rabbit,includes
The Whispers of the Crane and the White Rabbit,Grus Nivis,member_of
Traveler,The Whispers of the Crane and the White Rabbit,participates_in
The Whispers of the Crane and the White Rabbit,Inazuma,occurs_in
Kamisato Ayaka,Traveler,knows
Kamisato Ayaka,Tsubaki,knows
Traveler,Kamisato Ayaka,knows
Kamisato Ayaka,Ogura Mio,knows
Ogura Mio,Ogura Textiles & Kimonos,from
Kamisato Ayaka,Kurisu,knows
Traveler,Kurisu,knows
International Trade Association,Ritou,member_of
Kurisu,International Trade Association,member_of
Kanjou Commission,Inazuma,member_of
Kamisato Ayaka,Ronin,opposes
Traveler,Ronin,opposes
Kiminami Anna,Kiminami Restaurant,from
Kamisato Ayaka,Kiminami Anna,knows
Traveler,Kiminami Anna,knows
Paimon,Kiminami Anna,knows
Traveler,Mushroom Pizza,has
Kamisato Ayaka,Kimono,has
Traveler,White Heron Hairpiece,has
Traveler,Ayaka's Story Quest,participates_in
Paimon,Ayaka's Story Quest,participates_in
Ayaka,Ayaka's Story Quest,participates_in
Tsubaki,Ayaka's Mother,knows
Ayaka's Mother,Tsubaki,plays_role
Ayaka,Tsubaki,knows
Notebook,Tsubaki,from
Box,Notebook,has
Ayaka's Story Quest,Inazuma,occurs_in
Ayaka's Story Quest,Tenshukaku,occurs_in
Ayaka's Story Quest,Amakane Island,occurs_in
Ayaka,Kamisato Clan,member_of
Ayaka,Yashiro Commission,member_of
Traveler,Ayaka,knows
Paimon,Ayaka,knows
Ayaka,Desire for Inazuma's happiness,has_attribute
Yoimiya,Vision,has_attribute
Traveler,Carassius Auratus Chapter,participates_in
Paimon,Carassius Auratus Chapter,participates_in
Carassius Auratus Chapter,Inazuma City,occurs_in
Yoimiya,Ryuunosuke,knows
Ryuunosuke,Inazuma,from
Yoimiya,Sakujirou,knows
Sakujirou,Inazuma,from
Tenryou Commission,Sakujirou,opposes
Yoimiya,Kouichi,knows
Sakoku Decree,Inazuma,occurs_in
Yoimiya,Imatani couple,knows
Imatani couple,Konda Village,from
Yoimiya,Satoru,knows
Sakujirou,Keisuke,knows
Keisuke,Tenryou Commission,member_of
Yoimiya,Yoshitaka,knows
Yoshitaka,Tenryou Commission,member_of
Keisuke,Sakujirou,knows
Keisuke,Yoimiya,knows
Yoimiya,Traveler,knows
Yoimiya,Sakujirou,knows
Sakujirou,Inazuma,from
Yoimiya,Inazuma,from
Traveler,Teyvat,from
Amakane Island,Inazuma,occurs_in
Inazuma City,Inazuma,occurs_in
Yoimiya,Naganohara Ryuunosuke,knows
Yoimiya,Traveler,knows
Yoimiya,Paimon,knows
Traveler,Paimon,knows
Sakoku Decree,Inazuma,occurs_in
Yoimiya,desire to see meteor shower,has_attribute
Traveler,Rtawahist,knows
Yoimiya,Sumeru,knows
Port Ormos,Sumeru,occurs_in
Akademiya,Sumeru City,occurs_in
Sumeru City,Sumeru,occurs_in
Acara Crafts,Port Ormos,occurs_in
Fayez,Sumeru,from
Fayez,Aranara carvings,has
Yoimiya,Aranara carvings,has
Yoimiya,Aranara,knows
Azar,Rtawahist,from
Azar,Avidya Forest,occurs_in
Layla,Rtawahist,from
Nahida,Sumeru,from
Nahida,Emberglow Leaf,has
Yoimiya,Avin,knows
Avin,Sumeru,from
Devantaka Mountain,Sumeru,occurs_in
Ruin Golem,Devantaka Mountain,occurs_in
Yoimiya,Traveler's sibling,knows
Traveler,Meteor Shower Wish Quest,participates_in
Paimon,Meteor Shower Wish Quest,participates_in
Yoimiya,Meteor Shower Wish Quest,participates_in
Meteor Shower Wish Quest,Sumeru,occurs_in
Yoimiya,Ahangar,knows
Ahangar,Sumeru City,from
Urstone,legendary,has_attribute
Farid,Corps of Thirty,member_of
Niousha,Avin,knows
Avin,ill,has_attribute
Traveler,Hilichurls,opposes
Avin,Arashani,knows
Arashani,Aranara,has_attribute
Traveler,Arapurva,knows
Arapurva,Aranara,has_attribute
Yoimiya,Arapurva,knows
Arapurva,Arashani,knows
Arashani,Mawtiyima Forest,from
Avin,Nara,plays_role
Yoimiya,pure heart,has_attribute
Yoimiya,fierce heart,has_attribute
Avin,Arashani,knows
Yoimiya,Lens,has
Niousha,Inazuma,from
Traveler,Aranara Carving,has
Yoimiya,Story Quest,has_attribute
Carassius Auratus,Dreamlike Timelessness,includes
Dreamlike Timelessness,Act I,plays_role
Traveler,Dreamlike Timelessness,participates_in
Dreamlike Timelessness,Inazuma,occurs_in
Traveler,Yoimiya,knows
Traveler,Paimon,knows
Paimon,Yoimiya,knows
Traveler,Ryuunosuke,knows
Yoimiya,Ryuunosuke,knows
Ryuunosuke,Inazuma,from
Yoimiya,Sakujirou,knows
Sakujirou,Inazuma,from
Tenryou Commission,Sakujirou,opposes
Yoimiya,Kouichi,knows
Kouichi,Inazuma,from
Traveler,Kouichi,knows
Sakoku Decree,Inazuma,occurs_in
Yoimiya,Imatani Couple,knows
Traveler,Imatani Couple,knows
Imatani Couple,Konda Village,from
Imatani Couple,Satoru,knows
Traveler,Satoru,knows
Yoimiya,Satoru,knows
Saburou,Keisuke,knows
Keisuke,Inazuma,from
Sakujirou,Keisuke,knows
Tenryou Commission,Sakujirou,opposes
Keisuke,Tenryou Commission,member_of
Yoimiya,Yoshitaka,knows
Yoshitaka,Tenryou Commission,member_of
Traveler,Yoshitaka,knows
Yoimiya,Enemies,opposes
Yoimiya,Keisuke,knows
Yoimiya,Sakujirou,knows
Keisuke,Sakujirou,knows
Yoimiya,Duel,participates_in
Keisuke,Duel,participates_in
Yoshitaka,Keisuke,knows
Keisuke,Yoimiya,knows
Sakujirou,Inazuma,from
Keisuke,Sakujirou,knows
Yoimiya,Traveler,knows
Yoimiya,Firework,knows
Keisuke,Firework,has
Sakujirou,Order Slip,has
Traveler,Golden Firework,has
Amakane Island,Firework Show,occurs_in
Yoimiya,Firework Show,participates_in
Traveler,Firework Show,participates_in
Sakujirou,Firework Show,participates_in
Omnipresence Over Mortals,Act III,plays_role
Omnipresence Over Mortals,Inazuma,occurs_in
Omnipresence Over Mortals,Meeting with Sangonomiya Kokomi,includes
Omnipresence Over Mortals,Investigation at Fort Mumei,includes
Omnipresence Over Mortals,Delusion Factory Infiltration,includes
Teppei,Traveler,knows
Teppei,Sangonomiya Kokomi,knows
Sangonomiya Kokomi,Resistance,member_of
Sangonomiya Kokomi,Inazuma Shogunate,opposes
Sangonomiya Kokomi,Traveler,knows
Vision Hunt Decree,Inazuma,occurs_in
Tenryou Commission,Inazuma Shogunate,member_of
Raiden Shogun,Inazuma Shogunate,member_of
Traveler,Swordfish II,member_of
Teppei,Resistance,member_of
Swordfish II,Investigation at Fort Mumei,participates_in
Fort Mumei,Watatsumi Island,occurs_in
Bourou Village,Watatsumi Island,occurs_in
Teppei,Delusion,has
Tatarigami,Watatsumi Island,occurs_in
Orobashi,god of Watatsumi Island,has_attribute
Orobashi,Ei,opposes
Archon War,Teyvat,occurs_in
Narukami Island,Inazuma,occurs_in
Watatsumi Island,Inazuma,occurs_in
Gorou,Resistance,member_of
Fatui,Resistance,opposes
Delusion,vitality-absorbing,has_attribute
Traveler,Fatui,opposes
Crystal Marrow,Watatsumi Island,from
Kanjou Commission,Watatsumi Island,member_of
Nathan,Fatui,member_of
The Balladeer,Eleven Fatui Harbingers,member_of
Yae Miko,Traveler,knows
Grand Narukami Shrine,Narukami Island,occurs_in
Ei,Raiden Shogun,plays_role
Plane of Euthymia,Inazuma,occurs_in
Yae Miko,Kujou Sara,knows
Yae Miko,Tenryou Commission,opposes
Kujou Sara,Tenryou Commission,member_of
Kujou Takayuki,Kujou Clan,member_of
Traveler,Kamisato Ayaka,knows
Traveler,Thoma,knows
Yoimiya,Traveler,knows
Sayu,Shuumatsuban,member_of
Sayu,Infiltration of Tenryou Commission,participates_in
Kujou Sara,Kujou Takayuki,knows
Signora,Fatui,member_of
Traveler,Signora,opposes
Shogun,Musou no Hitotachi,has
Kaedehara Kazuha,Traveler,knows
Kaedehara Kazuha,Vision,has
Ei,Fatui,knows
Makoto,Ei,knows
Yae Miko,Traveler,knows
The Balladeer,Fatui,member_of
The Balladeer,Electro Gnosis,has
Ei,The Balladeer,knows
Traveler,lack of a Vision,has_attribute
Lesser Lord Kusanali,Traveler's lack of Vision,knows
Sages,Traveler's lack of Vision,knows
Miko,Traveler's lack of Vision,knows
Miko,Traveler,knows
Traveler,not yet found an ambition strong enough to receive a Vision,has_attribute
Requiem of the Echoing Depths,Traveler's Quest,includes
Requiem of the Echoing Depths,Act,plays_role
Requiem of the Echoing Depths,Chapter II,member_of
Requiem of the Echoing Depths,Archon Quests,member_of
Traveler,Requiem of the Echoing Depths,participates_in
Dainsleif,Requiem of the Echoing Depths,participates_in
Requiem of the Echoing Depths,The Chasm,occurs_in
Traveler,Paimon,knows
Traveler,Dainsleif,knows
Traveler,Yuehui,knows
Paimon,Traveler,knows
Paimon,Dainsleif,knows
Dainsleif,Traveler,knows
Dainsleif,Paimon,knows
Dainsleif,Halfdan,knows
Dainsleif,Twilight Sword,has_attribute
Dainsleif,Khaenri'ah's Royal Guard,member_of
Traveler's Sibling,Dainsleif,opposes
Abyss Order,Dainsleif,opposes
Abyss Order,Traveler,opposes
Black Serpent Knights,Dainsleif,opposes
Black Serpent Knights,Traveler,opposes
Abyss Lector,Traveler,opposes
Halfdan,Black Serpent Knights,member_of
Halfdan,Khaenri'ah's Royal Guard,member_of
Halfdan,Dainsleif,knows
Inteyvat,Khaenri'ah,from
Abyss Herald,Abyss Order,member_of
Abyss Lector,Abyss Order,member_of
Traveler,Through Mists of Smoke and Forests Dark,participates_in
Paimon,Through Mists of Smoke and Forests Dark,participates_in
Through Mists of Smoke and Forests Dark,Sumeru,occurs_in
Traveler,Paimon,knows
Through Mists of Smoke and Forests Dark,Archon Quest,plays_role
Through Mists of Smoke and Forests Dark,Chapter III,includes
Through Mists of Smoke and Forests Dark,Requiem of the Echoing Depths,after
Through Mists of Smoke and Forests Dark,The Morn a Thousand Roses Brings,before
Traveler,Dendro Archon,knows
Traveler,Haypasia,knows
Haypasia,Sumeru,from
Traveler,Tighnari,knows
Traveler,Collei,knows
Tighnari,Forest Rangers,member_of
Collei,Forest Rangers,member_of
Traveler,Greater Lord Rukkhadevata,knows
Greater Lord Rukkhadevata,Deceased,has_attribute
Traveler,Lesser Lord Kusanali,knows
Lesser Lord Kusanali,Dendro Archon,has_attribute
Lesser Lord Kusanali,Sumeru City,from
Sanctuary of Surasthana,Sumeru City,occurs_in
Collei,Amber,knows
Collei,Mondstadt,from
Amber,Mondstadt,from
Traveler,Stormterror incident,participates_in
Paimon,Stormterror incident,participates_in
Collei,Eleazar,has
Collei,Doctor,knows
Doctor,Eleven Fatui Harbingers,member_of
Traveler,Withering Zone,knows
Tighnari,Withering Zone,knows
Tighnari,Irminsul,knows
Irminsul,Ley Lines,has_attribute
Dendro Archon,God of Wisdom,has_attribute
Tighnari,Aranara,knows
Greater Lord Rukkhadevata,Aranara,knows
Traveler,Dusk Bird,knows
Haypasia,Dusk Bird,knows
Tighnari,Haypasia,knows
Traveler,Abyss Herald,knows
Aranara,Haypasia,knows
Traveler,Search for Lesser Lord Kusanali,participates_in
Paimon,Search for Lesser Lord Kusanali,participates_in
Haypasia,Aranara,knows
Haypasia,Genius,has_attribute
Sumeru Akademiya,Researchers,has_attribute
Researchers,Sumeru Akademiya,from
