id,label
Sages,Entity
Miko,Entity
not yet found an ambition strong enough,Entity
Traveler's Quest,Entity
Act,Entity
The Chasm,Entity
Yuehui,Entity
Halfdan,Entity
Khaenri'ah's Royal Guard,Entity
Traveler's Sibling,Entity
Black Serpent Knights,Entity
Abyss Lector,Entity
Inteyvat,Entity
Through Mists of Smoke and Forests Dark,Entity
Chapter III,Entity
The Morn a Thousand Roses Brings,Entity
Dendro Archon,Entity
Cinnabar Cliff,Entity
Haypasia,Entity
Gandharva Ville,Entity
Tighnari,Entity
Forest Rangers,Entity
Collei,Entity
Greater Lord Rukkhadevata,Entity
Sanctuary of Surasthana,Entity
Stormterror incident,Entity
Eleazar,Entity
The Doctor,Entity
Withering Zone,Entity
Irminsul,Entity
Dusk Bird,Entity
Search for Lesser Lord Kusanali,Entity
Genius,Entity
Sumeru Akademiya,Entity
Researchers,Entity
Irminsul research,Entity
Khaje,Entity
Naphis,Entity
Rohawi,Entity
Akasha Terminal,Entity
Asfand,Entity
Dunyarzad,Entity
Dehya,Entity
Nilou,Entity
Sabzeruz Festival,Entity
Dancer,Entity
Dance of Sabzeruz,Entity
Grand Sage,Entity
Dori,Entity
Mizri,Entity
Ayn Al-Ahmar,Entity
Divine Knowledge Capsule,Entity
Matra,Entity
Insane,Entity
Setaria,Entity
greatsword,Entity
Grand Bazaar,Entity
Vihar's venue,Entity
Lambad's Tavern,Entity
Bimarstan,Entity
Canned Knowledge,Entity
Akasha,Entity
extracting information,Entity
"creating a single, massive brain",Entity
Samsara,Entity
leaving the city,Entity
Traveler's plan,Entity
compiling wisdom,Entity
stealing dreams,Entity
putting consciousnesses into a collective dream,Entity
consciousness disappeared,Entity
how to break the samsara,Entity
Vihar,Entity
Eremites,Entity
forgotten something,Entity
Dunyarzad's room,Entity
diary,Entity
Diary,Entity
research on Lesser Lord Kusanali,Entity
puppet,Entity
dream host,Entity
Padisarahs,Entity
Nabu Malikata,Entity
dreamer,Entity
Dunyarzad's consciousness,Entity
tired,Entity
unable to host event,Entity
"Dreams, Emptiness, Deception",Entity
recovering,Entity
withering,Entity
desert,Entity
Nabiya,Entity
Akim,Entity
Qishna,Entity
King Deshret believer,Entity
King Deshret,Entity
resurrection misinformation,Entity
Rima,Entity
guilt,Entity
Il Dottore,Entity
expelled outcast,Entity
Tashfin,Entity
Pardis Dhyai,Entity
Scaramouche,Entity
Helping Nahida,Entity
Assassins,Entity
Stabbed,Entity
Becoming a god,Entity
Scaramouche's ascension,Entity
Defeating assassins,Entity
Helping Traveler escape,Entity
Doctor,Entity
Captured,Entity
Nahida's message,Entity
Great Red Sand,Entity
Aaru Village,Entity
Caravan Ribat,Entity
Wall of Samiel,Entity
Capsule,Entity
Cyno,Entity
General Mahamatra,Entity
Mediating,Entity
Candace,Entity
Tracking Traveler,Entity
Divine Knowledge,Entity
Rifthounds,Entity
Uncle Anpu,Entity
Village Chief,Entity
Village Keepers,Entity
Isak,Entity
King Deshret and the Three Magi,Entity
Investigation of Missing Village Keepers,Entity
Sharkan,Entity
King Deshret's resurrection,Entity
Makan,Entity
Radicals,Entity
Grandpa,Entity
Isak's Grandpa's House,Entity
Zaki,Entity
Delavar,Entity
Engur,Entity
Ambush,Entity
Interrogation of Radicals,Entity
Shani,Entity
Lied,Entity
Shani's Home,Entity
Eleazar Hospital,Entity
Near Aaru Village,Entity
Dar al-Shifa,Entity
Razak,Entity
Misinformation Campaign,Entity
Akademiya Plans,Entity
Mole,Entity
Alhaitham's Conviction,Entity
Book detailing activities,Entity
Computation Capability,Entity
Investigation of Desert Headsets,Entity
Rahman,Entity
The Group,Entity
Desert Ruins Investigation,Entity
Desert Ruins,Entity
Dendro Archon's Power,Entity
Kasala,Entity
Priest of King Deshret,Entity
Forbidden Knowledge,Entity
Morghi,Entity
Creating a New God,Entity
Judar,Entity
The Sages,Entity
Plan to convince Tighnari,Entity
Plan to find information on Dottore,Entity
Godhood,Entity
Infiltrating Azar's office,Entity
Azar's office,Entity
Jnagarbha Day,Entity
House of Daena,Entity
Viraf,Entity
Waking Nahida,Entity
Betrayer,Entity
Self-doubt,Entity
Breaking Barrier,Entity
The Plan,Entity
Sheikh Zubayr,Entity
Performance,Entity
Kusanali,Entity
Uday,Entity
Akasha Control,Entity
False God,Entity
Upgraded Akasha Terminal,Entity
False God's Location,Entity
Fatui Facility,Entity
Mechanical Suit,Entity
Combat Knowledge,Entity
Rukkhadevata's Memory,Entity
Rukkhadevata,Entity
Saving Irminsul,Entity
Restoring Irminsul,Entity
Dottore,Entity
Celestia,Entity
Dendro Gnosis,Entity
Kaveh,Entity
Bodyguard,Entity
Focalors,Entity
Fontaine,Entity
classified Traveler as Teyvat's fourth Descender,Entity
fourth Descender of Teyvat,Entity
Traveler is Teyvat's fourth Descender,Entity
Heavenly Principles,Entity
suspected first Descender of Teyvat,Entity
withholding information,Entity
helping Traveler,Entity
"Akasha Pulses, the Kalpa Flame Rises",Entity
5 Achievements,Entity
Caribert,Entity
Meeting Kaeya,Entity
Discovering Hut,Entity
Hut,Entity
Avidya Forest,Entity
Masrur,Entity
Crepus,Entity
Alberich,Entity
Abyss Order founders,Entity
Investigating Ley Lines,Entity
Loom of Fate,Entity
Eide,Entity
Gods,Entity
Hilichurl,Entity
Medicine,Entity
Medicine Creation,Entity
Sumeru Rose,Entity
Kalpalata Lotus,Entity
Scarf,Entity
Prayer,Entity
Sanctuary,Entity
Abyss Being,Entity
Chlothar Alberich,Entity
Abyss Power,Entity
Chlothar,Entity
Founder of the Abyss Order,Entity
Prelude of Blancheur and Noirceur,Entity
Freeing Nahida,Entity
Lyney,Entity
Lynette,Entity
Furina,Entity
Performer,Entity
Hydro Archon,Entity
Neuvillette,Entity
Court of Fontaine,Entity
Oratrice Mecanique d'Analyse Cardinale,Entity
Clorinde,Entity
Furina's Entourage,Entity
Romaritime Harbor,Entity
unable to absolve Fontaine's sins,Entity
rising water levels,Entity
Magic Pockets,Entity
helps people transport belongings,Entity
giving Magic Pockets to people,Entity
preparing people for worst-case scenario,Entity
gathering Romaritime Flowers,Entity
catching a thief,Entity
returning stolen items,Entity
injured,Entity
taking aquabus,Entity
Charlotte,Entity
discussing disappearances,Entity
interview,Entity
visiting Lyney and Lynette's home,Entity
Freminet,Entity
Lyney and Lynette's household,Entity
collecting materials for Magic Pockets,Entity
Hydro Dragon,Entity
causes rain when weeping,Entity
finishing business,Entity
introverted,Entity
taking supplies to Beaumont Workshop,Entity
Estelle,Entity
Beaumont Workshop,Entity
paying Estelle in advance,Entity
Indemnitium,Entity
powers Estelle's machine,Entity
Truand,Entity
Confrerie of Cabriere,Entity
sparring with Champion Duelists,Entity
Champion Duelist,Entity
Childe's Vision,Entity
visiting Fountain of Lucine,Entity
Cowell,Entity
Esmond,Entity
Navia,Entity
Silver,Entity
Melus,Entity
Assistant,Entity
Chief Justice,Entity
Prosecutor,Entity
Defense Attorney,Entity
Opera House,Entity
Magic Show,Entity
Trial,Entity
Props,Entity
Tickets,Entity
House of the Hearth,Entity
Spina di Rosula,Entity
Disappearance,Entity
Death of Cowell,Entity
Investigation of the Oratrice's Core,Entity
Heard a voice,Entity
Smashed Vase,Entity
Scattered Clothes,Entity
Bag,Entity
Cowell's Bag,Entity
Water from Primordial Sea,Entity
Organization selling illegal drugs,Entity
Innocent,Entity
Vaughn,Entity
Liliane,Entity
Halsey,Entity
Thief,Entity
Theft of Ticket,Entity
Fortress of Meropide,Entity
Prison,Entity
Orphan,Entity
Knave,Entity
Arlecchino,Entity
Hydro Gnosis,Entity
Farewell Meal,Entity
Hotel Debord,Entity
As Light Rain Falls Without Reason,Entity
Chapter IV,Entity
To the Stars Shining in the Depths,Entity
Disappearance Case,Entity
Focal Person,Entity
Fonta,Entity
Fountain of Lucine,Entity
Oceanid,Entity
Vacher,Entity
Clockwork Meka,Entity
Illegal,Entity
Primordial Sea,Entity
Hydro Sensitivity,Entity
Callas,Entity
Jacques,Entity
Investigation of Callas' death,Entity
Poisson headquarters,Entity
deceased,Entity
case file archives,Entity
Sedene,Entity
official,Entity
Palais Mermonia,Entity
Neuvillette's office,Entity
witness,Entity
Callas' death,Entity
arena,Entity
Primordial Seawater,Entity
dissolves,Entity
Sinthe,Entity
drink,Entity
informant,Entity
Florent,Entity
suspect,Entity
Thierry,Entity
Marcel,Entity
Jacques' family,Entity
Poisson,Entity
Gardemeks,Entity
Investigation,Entity
Tartaglia,Entity
Suspect,Entity
Evidence,Entity
Sinthe production facility,Entity
Underwater,Entity
Infiltration,Entity
Case details,Entity
Judge,Entity
Witness,Entity
Experimenter,Entity
Vigneire,Entity
Verdict,Entity
Electro Delusion,Entity
Foul Legacy Transformation,Entity
Hydro power,Entity
investigator,Entity
collective consciousness,Entity
Oratrice,Entity
Childe's apprehension,Entity
Childe's disappearance,Entity
detained,Entity
outside court's jurisdiction,Entity
Fruity Trio,Entity
prison investigation,Entity
Wriothesley,Entity
Duke,Entity
Deakin,Entity
Sigewinne,Entity
Vidoc,Entity
Flashback,Entity
Childe's time in prison,Entity
Dream,Entity
about Childe,Entity
Exploring prison facilities,Entity
Working for three days,Entity
results in being served mystery meat,Entity
Betting on two fighters,Entity
not allowed,Entity
Rules,Entity
Hidden rules,Entity
Pipes,Entity
Rumors of cannibals,Entity
Cannibals,Entity
Turning victims into other forms,Entity
Investigating hidden rules,Entity
Missing,Entity
Fielding,Entity
Rumors of strange sounds,Entity
Strange sounds,Entity
Pipe-cleaning days,Entity
Every month,Entity
Vision of Childe,Entity
Escaping through pipes,Entity
Three people,Entity
Farce to protect Childe,Entity
Entrance to pipes,Entity
Flooded,Entity
Childe's behavior,Entity
3 Achievements,Entity
Cataclysm's Quickening,Entity
Lyney's Card,Entity
Laverune,Entity
Cuistot,Entity
Bombshell Bros,Entity
Father,Entity
Lyney's Family,Entity
Infirmary Infiltration,Entity
Jurieu,Entity
Lourvine,Entity
Cooking Skills,Entity
Melusine,Entity
Consumed Primordial Seawater,Entity
Forbidden Zone,Entity
Opera Epiclese,Entity
concern,Entity
fear,Entity
Tea Party,Entity
Masquerade of the Guilty,Entity
Monglane,Entity
seal,Entity
Sedenes,Entity
rescuer,Entity
Joinville,Entity
prosecutor,Entity
Investigation of Fontaine's Prophecy,Entity
destruction prophecy,Entity
Egeria,Entity
Previous Hydro Archon,Entity
Second Slate Image,Entity
Third Slate Image,Entity
Fourth Slate Image,Entity
Organization,Entity
Fleuve Cendre,Entity
Tetreaux,Entity
Mona,Entity
Astromancer Barbeloth Trismegistus,Entity
Hexenzirkel,Entity
Steambird,Entity
Victims List,Entity
Meeting,Entity
"Mage ""N""",Entity
Isadora,Entity
Riot,Entity
Marechaussee Phantom,Entity
Death Sentence of Furina,Entity
Opera,Entity
All-Devouring Narwhal,Entity
Skirk,Entity
Surtalogi,Entity
Childe's master,Entity
Rhinedottir,Entity
Albedo's creator,Entity
Cursed,Entity
Harbinger,Entity
Descender,Entity
relaying information,Entity
reasoning,Entity
Fourth Descender,Entity
Gnoses,Entity
gods,Entity
Natlan,Entity
land of endless war,Entity
nation where humans and dragons coexist,Entity
Il Capitano,Entity
war in Natlan,Entity
The Knave,Entity
intel,Entity
Bedtime Story,Entity
Missing Person Investigation,Entity
Vimara Village,Entity
Bahram,Entity
Amadhiah,Entity
Atossa,Entity
Pyro Abyss Mage,Entity
Vedrfolnir,Entity
Visionary,Entity
Five Sinners of Khaenri'ah,Entity
Rerir,Entity
Hroptatyr,Entity
Vinster King,Entity
Golden Sword,Entity
Investigating Caribert's Commission,Entity
creates Ley Lines,Entity
creates and implants memories,Entity
Vimara Village events,Entity
Loom of Fate's eye,Entity
Traveler's sibling,Entity
Divine,Entity
awakens,Entity
Villagers,Entity
Flowers Resplendent on the Sun-Scorched Sojourn,Entity
Kachina,Entity
Ayo,Entity
Pacal,Entity
Pyro Archon,Entity
Toto,Entity
K'uhul Ajaw,Entity
Kinich,Entity
Mualani,Entity
Children of Echoes,Entity
Tepetlisaurus,Entity
Pilgrimage,Entity
Handbook,Entity
Wayob,Entity
Scions of the Canopy,Entity
People of the Springs,Entity
Masters of the Night-Wind,Entity
Flower-Feather Clan,Entity
Collective of Plenty,Entity
Contending Fire,Entity
fuel for Sacred Flame,Entity
Sacred Flame,Entity
Abyss,Entity
Ancient Names,Entity
Ode of Resurrection,Entity
works on Ancient Names,Entity
instill teamwork,Entity
Night Warden Wars,Entity
Contending Sparks,Entity
collected in Pilgrimage,Entity
Tepexpan,Entity
Tamuin,Entity
Nkunga,Entity
Liliuo,Entity
Chasca,Entity
Iansan,Entity
Kaiulani,Entity
Kibangu,Entity
Atea,Entity
Amina,Entity
Abandoned Hot Spring,Entity
Village setup,Entity
Night Patrol,Entity
Inn,Entity
Village,Entity
Rifthound Whelps,Entity
Abyssal Saurians,Entity
Pylon,Entity
Village area,Entity
Injured,Entity
Purification powers,Entity
Abyssal contamination,Entity
Party,Entity
Next day,Entity
Near death,Entity
Tribe,Entity
Talisman,Entity
Quick Start,Entity
feature,Entity
Version 2.6,Entity
allows players to skip certain prerequisite Quests,Entity
available for a limited time,Entity
available for certain Quests released during or after Version 5.0,Entity
many Events before Version 4.0,Entity
may impact player's experience,Entity
Story and dialogue,Entity
do not change based on whether the player has completed the recommended prerequisite quests,Entity
Event story,Entity
may be incongruous with player's progression outside of the event,Entity
may have spoilers for the quests they have not yet completed,Entity
cannot skip all quest requirements,Entity
Graven Innocence,Entity
allowed players to participate without completing The Trail of the God of Wisdom,Entity
required players to have completed Prologue: Act I - The Outlander Who Caught the Wind,Entity
Prologue: Act I - The Outlander Who Caught the Wind,Entity
The Trail of the God of Wisdom in Chapter III: Act I - Through Mists of Smoke and Forests Dark,Entity
No events released after Secret Summer Paradise in Version 3.8,Entity
utilize Quick Start,Entity
17 Events,Entity
with the Quick Start feature,Entity
4 Quests,Entity
Millelith,Entity
Harbingers,Entity
Sigil,Entity
Moon Carver,Entity
Cloud Retainer,Entity
Mountain Shaper,Entity
Demon Conqueror,Entity
Xiao,Entity
Wangshu Inn,Entity
Verr Goldet,Entity
Almond Tofu,Entity
food,Entity
Satisfying Salad,Entity
Ruin Hunter,Entity
Mt. Hulao,Entity
Mt. Aocang,Entity
Matsutake Meat Rolls,Entity
Jewelry Soup,Entity
Mora Meat,Entity
Abyss Order Conflict,Entity
Strange Machine,Entity
Tyrant's Final Fury,Entity
Old Mondstadt,Entity
Field Tiller's Eye,Entity
Search for Truth,Entity
Abyss Order's Goal,Entity
Black Stone Under a White Stone,Entity
Chapter V,Entity
Kachina's Death,Entity
inexperienced,Entity
reviving,Entity
comission,Entity
Mavuika,Entity
Kachina's Ancient Name,Entity
Kachina's Rescue,Entity
Capitano,Entity
Citlali,Entity
Spiritspeaker Stone,Entity
entering Night Kingdom,Entity
Ritual,Entity
Wayna,Entity
Vichama,Entity
Mallko,Entity
Abyssal Energy Purification,Entity
Bow,Entity
Finding Mallko's Memory,Entity
Contaminated with Abyssal Energy,Entity
Chuychu,Entity
Ancient Name,Entity
Tenoch,Entity
United the tribes,Entity
Saved Natlan,Entity
Established rules,Entity
Abyssal Entity,Entity
Affects Wayob,Entity
Journey to Night Kingdom,Entity
Elemental Sovereigns,Entity
Advanced Civilization,Entity
Saurian Manifestations,Entity
Abyssal Manifestation,Entity
Riftwolves,Entity
Purification of the Wayob Totem,Entity
Comonqui,Entity
Tupac,Entity
Xilonen,Entity
Rezanov,Entity
Lord of the Night,Entity
slumber,Entity
Night Kingdom,Entity
Ororon,Entity
Phlogiston Aphids,Entity
Kosterlitzky,Entity
Coyopa,Entity
plan,Entity
Meeting with Ororon,Entity
Information about Natlan,Entity
Incomplete soul,Entity
Stadium,Entity
Meal with Citlali,Entity
Weary Inn,Entity
Drunk,Entity
Citlali's thoughts,Entity
Insecure,Entity
Unique outlier,Entity
Experienced warrior,Entity
Rescuing the caravan,Entity
Intelligence gathering,Entity
Source Mechanism,Entity
Secret Source,Entity
Tarko,Entity
Memories,Entity
Saving Capitano,Entity
Ley Lines reconstruction,Entity
Ororon's past,Entity
Loom of Fate manipulation,Entity
The Rainbow Destined to Burn,Entity
Meeting with Mavuika,Entity
Speaker's Chamber,Entity
Capitano's location,Entity
Ororon's memory,Entity
Dangerous plan,Entity
Ororon's plan,Entity
using the Gnosis,Entity
Can stop Capitano's plan,Entity
Ajaw,Entity
Sanhaj,Entity
Masters of Night-Wind,Entity
Yohualtecuhtin,Entity
affected Ororon,Entity
Source of Ley Lines,Entity
Dragons,Entity
Ley Lines,Entity
Seelies,Entity
Angels,Entity
Can rebuild Ley Lines,Entity
Aberewaa,Entity
Bosomtwe,Entity
Cuxtal,Entity
unsalvageable,Entity
Ayizu,Entity
Protector of Natlan,Entity
curse,Entity
Xbalanque,Entity
Power over Death,Entity
Ronova,Entity
Archons,Entity
death,Entity
Pilgrim's Chronicle,Entity
record of Traveler's deeds,Entity
Pilgrimage of the Return of the Sacred Flame,Entity
Tumpi,Entity
Abyss invasion defense,Entity
Natlanese,Entity
rift,Entity
Abyss invasion,Entity
Sulfurous Veins defenders,Entity
Chimalli,Entity
