source,target,relation
Bough Keeper: Dainsleif,"Charles, Dainsleif, Katheryne (Mondstadt), Lawrence, Paimon, Traveler, Wagner",Characters
Bough Keeper: Dainsleif,World Quest,is a
Bough Keeper: Dainsleif,Archon Quest Chapter I: Act IV - We Will Be Reunited,serves as the prologue to
Start the quest by talking to,in the City of Mondstadt,Katheryne
Bough Keeper: Dainsleif,1.3,Version
We Will Be Reunited,Archon Quest,Quest Type
We Will Be Reunited,IV,Act
We Will Be Reunited,I,Chapter
We Will Be Reunited,A New Star Approaches,Previous
We Will Be Reunited,"Autumn Winds, Scarlet Leaves",Next
We Will Be Reunited,28,Requirements/Adventure Rank Required
We Will Be Reunited,Lupus Minor Chapter: Act I - The Meaning of Lupical,Requirements/Story Quest Requirement(s)
We Will Be Reunited,Bough Keeper: Dainsleif,Requirements/World Quest Requirement(s)
Traveler,Dainsleif,meets
Traveler,Sibling,knows
Dainsleif,Twilight Sword,is
Dainsleif,protect Khaenri'ah,failed
Dainsleif,curse of immortality,suffers
Sibling,Abyss Order,joins
Sibling,go home,refuses
Traveler,Inazuma,will go to
Lupus Minor,Razor,is the Story Quest chapter for
Traveler,Paimon,explored Wolvendom with
Traveler,slimes,and Paimon fought
Razor,Traveler and Paimon,helped
Razor,raw meat,asked for
Traveler,Razor,gave raw meat to
Traveler,Amber,asked about Razor to
Amber,Drunkard Gorge and Springvale,investigated wolf attacks at
Amber and Traveler,Wolfhook seed,found
Amber,remain calm,told Springvale villagers to
Razor,Amber,accepted help from
Razor,injured wolf,led Amber and Traveler to
Razor,black wolf,said another wolf pack was led by
Traveler,Wolfhook seeds,collected
Springvale villagers,Razor,accused
Boreas,Razor,challenged
Traveler,Razor,helped
Boreas,outside wolf pack,confirmed problems caused by
Boreas,spar,allowed Traveler to
Razor,his identity,questioned
Amber,Mondstadt,offered to bring Razor to
Razor,Amber,rejected offer from
"Lupus Minor, Act I: The Meaning of Lupical",Razor's story quest,is the first act of
Lupus Minor,Razor's story quest,is part of
Adventure Rank 21,"Lupus Minor, Act I: The Meaning of Lupical",is required to unlock
Prologue: Act III - Song of the Dragon and Freedom,"Lupus Minor, Act I: The Meaning of Lupical",is required to unlock
"Lepus Chapter: Act I - Wind, Courage, and Wings","Lupus Minor, Act I: The Meaning of Lupical",is required to unlock
Traveler,Wolvendom,explores
Paimon,Wolvendom,explores
Traveler,Razor,helps
Razor,Traveler,asks for help
Amber,wolf attacks,investigates
Razor,Amber,helps
Boreas,Razor,challenges
Traveler,Razor,helps
Boreas,outside wolf pack attacks,confirms
Boreas,Traveler to spar,allows
Razor,his identity,questions
Amber,Razor,offers help
"Autumn Winds, Scarlet Leaves",Archon Quest,Quest Type
"Autumn Winds, Scarlet Leaves",Chapter II,Chapter
"Autumn Winds, Scarlet Leaves",Prologue,Act
"Autumn Winds, Scarlet Leaves",We Will Be Reunited,Previous
"Autumn Winds, Scarlet Leaves",The Immovable God and the Eternal Euthymia,Next
"Autumn Winds, Scarlet Leaves",Adventure Rank 30,Requirements
Kazuha,the culprit's location and identity,knows
Fei the Flyer,the culprit,is
Fei the Flyer,Treasure Hoarder,is a
Fei the Flyer,the tournament,signed up for
Fei the Flyer,the tournament,intended to win
Traveler,Rongshi,defeated
Fei the Flyer,Traveler,fought
Traveler,Fei the Flyer,bested
Kazuha,Fei the Flyer,threatened to kill
Kazuha,the Vision,confiscated
Kazuha,the theft,was aware of
Gods,Visions,grant
Kazuha,Traveler to resonate with the Vision,asked
Traveler,the Vision,unable to resonate with
Kazuha,the Vision,kept
Raiden Shogun,Vision Hunt Decree,enacted
Kazuha's friend,Raiden Shogun,challenged
Kazuha's friend,in a duel against Raiden Shogun,died
Kazuha,the duel,witnessed
Kazuha,the Vision,snatched
Kazuha,pursuers,fled from
Beidou,Ningguang,was summoned by
Fei,the tournament,was disqualified from
Traveler,champion of the tournament,was crowned
Kazuha,Traveler about the journey to Inazuma,warned
Alcor,resupply,needs to
Kazuha,Liyue,intends to travel across
The Immovable God and the Eternal Euthymia,Archon Quest,Quest Type
The Immovable God and the Eternal Euthymia,Chapter II,Chapter
The Immovable God and the Eternal Euthymia,Act I,Act
The Immovable God and the Eternal Euthymia,"Autumn Winds, Scarlet Leaves",Previous
The Immovable God and the Eternal Euthymia,"Stillness, the Sublimation of Shadow",Next
The Immovable God and the Eternal Euthymia,Adventure Rank 30,Requirements
The Immovable God and the Eternal Euthymia,100,Rewards
Inagi Hotomi,demon possessing Domon,did not sense
Inagi Hotomi,another form of demon has possessed him,is unsure if
Inagi Hotomi,Lady Yae has taken notice,tells
Yae,Domon,inspects
Yae,Domon is not possessed,states
Vision,Domon immense aspirations,gave
Domon,aspirations of his past deeds,destroyed
Anzai,his aspirations were gone,accepted
Anzai,Domon,passed aspirations
Anzai,pass aspirations to disciples,urges
Domon,meaning behind Anzai's words,realizes
Domon,to pass aspirations,promises
Domon,Yae,thanks
Yae,Traveler's arrival,anticipated
Yae,high expectations for Traveler,has
Paimon,return to Ayaka,suggests
Ayaka,reasoning for sending Traveler,explains
Traveler,to help,agrees
Ayaka,resistance's actions,explains
Master Masakatsu,arrested,was
Ayaka,break Masakatsu out,wishes
Traveler,the job,will do
Tenryou Commission,Vision bearer,threaten
Yoimiya,samurai,fools
Yoimiya,fireworks,is known for
Yoimiya,confiscation of Vision,eluded
Yoimiya,Traveler and Paimon were sent by Ayaka,learns
Traveler and Yoimiya,police station,enter
Yoimiya,Traveler to finish gift,leaves
Guards,Masakatsu,torturing
Kujou Sara,Masakatsu,checks on
Kujou Sara,guards,reprimands
Kujou Sara,guards to investigate,orders
Yoimiya,gift,sets off
Kujou Sara,Traveler and Yoimiya to leave,allows
Kujou Sara,Masakatsu,warns
Yoimiya and Masakatsu,Traveler and Paimon,thank
Traveler and Paimon,Ayaka,inform
Thoma,Tenryou Commission has been tasked,states
Thoma,relaxing,suggests
Group,hot pot game,have
"Stillness, the Sublimation of Shadow",Chapter,Inazuma's Quest Act Quest Type
"Stillness, the Sublimation of Shadow",II,Inazuma's Quest Act Archon
"Stillness, the Sublimation of Shadow",II,Inazuma's Quest Act Act
"Stillness, the Sublimation of Shadow",The Immovable God and the Eternal Euthymia,Previous
"Stillness, the Sublimation of Shadow",Omnipresence Over Mortals,Next
"Stillness, the Sublimation of Shadow",30,Requirements Adventure Rank Required
"Stillness, the Sublimation of Shadow",Grus Nivis Chapter: Act I - The Whispers of the Crane and the White Rabbit,Story Quest Requirement(s)
"Stillness, the Sublimation of Shadow",Carassius Auratus Chapter: Act I - Dreamlike Timelessness,Story Quest Requirement(s)
"Stillness, the Sublimation of Shadow",100,Rewards
Kamisato Ayaka,Grus Nivis Chapter,Story Quest
Kamisato Ayaka,white heron hairpiece,owns
Traveler,white heron hairpiece,receives
Tsubaki,Kamisato Ayaka's Mother,is
Traveler,Amakane Island,visits
Ayaka,Amakane Island,appears at
Merchants,Ayaka,stay open for
Ayaka and Traveler,prayer panel,draw on
Ayaka,Inazuma where everyone lives happily,wants
Traveler,reunion with sibling,wants
Ayaka,Traveler,performs dance for
Ayaka,notebook,finds
Ayaka,mother and Tsubaki are the same person,learns
Ayaka,live every day without regrets,resolves
Ayaka,bring Traveler and Paimon to festival,offers
Trio,Amakane Island,arrive
Merchants,stay open,decide
Ayaka and Traveler,prayer panel,draw
Ayaka,Inazuma where everyone lives happily,wants
Traveler,reunite with sibling,wants
Ayaka,dance,performs
Ayaka,Traveler,thanks
Carassius Auratus Chapter,Yoimiya,is the Story Quest chapter for
Yoimiya,the harsher facts of life like the Vision Hunt Decree,explains that children should enjoy their childhood and that they shouldn't yet need to learn about
Yoimiya's family,their spectacular fireworks,is well known throughout Inazuma for
Ryuunosuke,Yoimiya's father,is
Sakujirou,an old customer that smuggled himself into Inazuma,is
Tenryou Commission,Sakujirou,put an arrest warrant out for
Kouichi,the boat,was questioned about
Yoimiya,her customers happy,never minds all the work she does as she wants to keep
Yoimiya,a place in Inazuma and some fireworks,offers the Traveler
Sakujirou,coming to Inazuma,regrets
Imatani couple,Satoru,ask the trio to deliver some pickled radish to
Tenryou,Yoimiya's house,raided
Keisuke,Sakujirou,lead the arrest of
Yoimiya,Keisuke to a duel,challenges
Keisuke,Sakujirou to leave Inazuma,allows
Keisuke,Sakujirou not to die early,reminds
Keisuke,Sakujirou if he returns,will help
Keisuke,demotion,bemoans
Keisuke,Yoimiya,thanks
Yoimiya,firework to Keisuke,gives
Sakujirou,firework,sees
Sakujirou,Keisuke lit the firework,realizes
Yoimiya,Traveler a slip for the golden firework,gives
Yoimiya and Ryuunosuke,a trip,discuss
Yoimiya,Ryuunosuke to help run the store,asks
Yoimiya,to explore outside Inazuma,wants
Yoimiya,to watch Teyvat's greatest meteor shower,wants
Traveler,to bring Yoimiya to Sumeru,offers
Rtawahist,locate the meteor shower,can help
Yoimiya,Traveler's offer,accepts
Traveler,travels in Sumeru,talks about
Yoimiya,Sumeru,is captivated by
Yoimiya,Aranara carvings,buys
Yoimiya,how Aranara speak,recalls
Yoimiya,Sumeru City,is impressed by
Yoimiya,going into Akademiya without proper clothing,is worried about
Paimon,they don't know who to ask,realizes
Nahida,meteor showers are unpredictable,informs
Nahida,creating a meteor shower in a dream,suggests
Nahida,Emberglow Leaf,gives
Yoimiya,Avin an Aranara carving,gives
Yoimiya,Avin's feelings,deduces
Yoimiya,the meteor shower,asks about
Yoimiya,"meteor shower will occur in Sumeru, in dreams",is surprised to learn
Yoimiya,Traveler's sibling,asks about
Traveler,Paimon,travels with
Traveler,Yoimiya,meets
Yoimiya,meteor shower,wants to find
Traveler,Ahangar,asks for help
Ahangar,lenses,creates
Ahangar,Urstone,mentions
Traveler,Farid,meets
Traveler,Niousha,meets
Niousha,Avin,is the mother of
Traveler,Avin,searches for
Traveler,Avin,finds
Traveler,hilichurls,fights
Avin,Aranara friend,remembers
Yoimiya,Avin,promises to help
Traveler,Arapurva,summons
Arapurva,Aranara,is an
Arapurva,Avin,helps
Arapurva,Arashani,mentions
Avin,Arashani,meets
Avin,lens,gives
Yoimiya,meteor shower spot,finds
Niousha,Yoimiya,thanks
Yoimiya,Traveler,gives gift to
Yoimiya,Carassius Auratus Chapter: Act I - Dreamlike Timelessness,quest
Dreamlike Timelessness,Story Quest,quest type
Dreamlike Timelessness,N/A,previous quest
Dreamlike Timelessness,Star-Pickers' Passage,next quest
Dreamlike Timelessness,Adventure Rank 30,requires
Dreamlike Timelessness,Chapter II: Act I - The Immovable God and the Eternal Euthymia,requires
Sakujirou,Runaway Stowaway,status
Keisuke,Tenryou Commission,affiliation
Traveler,Help Yoimiya and Sakujirou,objective
Yoimiya,Treasure Hoarders,attacks and drives away
Yoimiya,Keisuke and Sakujirou,intervenes and tries to connect
Yoimiya,Keisuke,challenges
Yoimiya,Keisuke,wins against
Keisuke,Yoshitaka,orders
Keisuke,Sakujirou to leave Inazuma,allows
Keisuke,Yoimiya,thanks
Keisuke,Yoimiya,asks
Yoimiya,Keisuke,gives firework to
Yoimiya,Traveler,takes
Sakujirou,firework show,watches
Keisuke,firework,lights
Yoimiya,Traveler a slip for firework,gives
Omnipresence Over Mortals,Archon Quests,is the third act in Chapter II of
Teppei,the Traveler,takes
the Traveler,Watatsumi Island,goes to
Sangonomiya Kokomi,how she recently accepted an anonymous letter's offer,tells
Watatsumi Island,resources,lacks
the Traveler,captain of Swordfish II,becomes
Teppei,a combat role,asks for
Swordfish II,investigate the mysterious disappearance of supplies,is assigned to
Swordfish II,Bourou Village,stays in
Teppei,captain of a newly formed special operations unit,becomes
the investigation at Fort Mumei,any leads,fails to reveal
Teppei,assistance,provides
Tatarigami,Orobashi,emerged after the death of
Orobashi,Ei,was slain by
the Traveler,Kokomi and General Gorou,finds
the Traveler,the weapon as a vitality-absorbing Delusion,identifies
the Resistance's mysterious 'sponsor',the Fatui,is
Kokomi,that the Resistance be informed to stop using Delusions,orders
the Traveler,Teppei,rushes off to find
the Traveler,Delusion manufacturing scheme,decides to dismantle
the Traveler and Paimon,that the Delusions are being produced with the Crystal Marrow,realize
Nathan,a Fatui mole,is
The Balladeer,the 'weak',mocks
Yae Miko,the Traveler,rescues
Yae Miko,that she has taken an interest in them,explains
the Traveler,Ei,met
Miko,the Traveler through grueling training,puts
Yae Miko,Kujou Sara,plans to turn against Tenryou Commission
Kujou Takayuki,Shogunate,betrayed
Traveler,Komore Teahouse,returns to
Traveler,Kamisato Ayaka and Thoma,meets with
Yoimiya,distraction,supplied
Sayu,Tenryou Commission,infiltrated
Kujou Sara,Kujou Takayuki,confronts
Signora,Shogun,meeting with
Signora,Kujou Sara,defeated
Traveler,Signora,challenged
Shogun,Signora,executed
Shogun,Traveler,intends to execute
Kaedehara Kazuha,Musou no Hitotachi,blocked
Traveler,Shogun,attacks
Ei,Visions,deemed greater threat
Yae Miko,Plane of Euthymia,enters
Traveler,Ei,defeated
Ei,Vision Hunt Decree,agrees to abolish
Yae Miko,Traveler,rescued from The Balladeer
Yae Miko,Electro Gnosis,gave
Ei,Electro Gnosis,entrusted
The Balladeer,Ei's prototype puppet,was
The Balladeer,Sixth Harbinger,became
Lesser Lord Kusanali,unspecified_decision,decision_maker_of
The Sages,unspecified_decision,decision_maker_of
Miko,Traveler's lack of Vision,speculates_about
Traveler's lack of Vision,lack of strong ambition,caused_by
Traveler,Vision,lacks
Traveler,strong ambition,lacks
Omnipresence Over Mortals,6,has_achievements
Act,28,has_characters
Requiem of the Echoing Depths,Archon Quest,Quest Type
Requiem of the Echoing Depths,Chapter II,Chapter
Requiem of the Echoing Depths,Act IV,Act
Requiem of the Echoing Depths,Through Mists of Smoke and Forests Dark,Previous
Requiem of the Echoing Depths,Omnipresence Over Mortals,Next
Requiem of the Echoing Depths,Adventure Rank 30,Requirements
Requiem of the Echoing Depths,2.6,Version
Through Mists of Smoke and Forests Dark,Chapter III,is the first act in
Through Mists of Smoke and Forests Dark,Archon Quests,is part of
Traveler,Sumeru,continues their search for answers in
Traveler,Dendro Archon,seeks an audience with
Traveler,Cinnabar Cliff,passes through
Traveler,Sumeru rainforest,emerges into
Traveler,Haypasia,asks
Haypasia,scholar,is a
Traveler,Haypasia,follows
Haypasia,cave,enters
Haypasia,incense,lights
Incense,fainting,causes
Traveler,tree,has a vision of
Traveler,Gandharva Ville,awakens in
Tighnari,Forest Ranger,is a
Collei,Forest Ranger,is a
Traveler,Tighnari,receives treatment from
Traveler,Collei,receives treatment from
Traveler,Collei,asks for information from
Tighnari,Traveler and Paimon to accompany Collei,allows
There were two,Greater Lord Rukkhadevata and Lesser Lord Kusanali,Dendro Archons
Greater Lord Rukkhadevata,cataclysm,died during
Lesser Lord Kusanali,Dendro Archon,is the current
Lesser Lord Kusanali,Sanctuary of Surasthana,lives in
Collei,Amber,is friends with
Collei,Mondstadt,lived in
Paimon,Tighnari,criticizes
Paimon,Collei,touches
Collei,Eleazar,has
Collei,The Doctor,was treated by
The Doctor,Eleven Fatui Harbingers,is one of the
Traveler,Collei's medication,gathers ingredients for
Withering Zone,dangerous area,is a
Withering,Irminsul,stems from a disease affecting
Irminsul,giant tree,is a
Aranara,Greater Lord Rukkhadevata,are familiars of
Haypasia,Dusk Bird,sends a message via
Tighnari,Traveler,reveals truth to
Traveler,Haypasia's cave,enters
Traveler,Aranara,encounters
Aranara,Traveler,induces a dream on
Haypasia,difficulty of connecting to Irminsul,explains
Haypasia,Irminsul,connected to
Haypasia,Aranara,can see
Traveler and Paimon,Gandharva Ville,returned to
Sage Khajehand,Tighnari,attempts to recruit
Tighnari,Traveler to meet Rohawi,advises
Traveler and Paimon,Akasha Terminals,receive
Dunyarzad,Lesser Lord Kusanali,follows
Dunyarzad,Sabzeruz Festival,wants to revive
Nilou,Dance of Sabzeruz,will perform
Nilou,Padisarahs,wishes for
Dehya,meeting Lesser Lord Kusanali,provides lead on
Akademiya convoy,Aaru Village,robbed at
Stolen item,"Akasha, knowledge, and gods",related to
Stolen item,Port Ormos,located in
Ayn Al-Ahmar,King Deshret's revival,spreads rumors about
Traveler,Alhaitham,collaborates with
Alhaitham,Divine Knowledge Capsule,wants to study
Mizri,Divine Knowledge Capsule,obtained
Mizri,Akasha Terminal,severed connection to
Matra,Mizri into custody,took
Mizri,"""...World...Forget me...""",uttered
Alhaitham and Traveler,each other,withheld information from
Alhaitham,Divine Knowledge Capsule from Mizri,swiped
Traveler,Mizri's words in a vision,heard
Alhaitham,Mizri's state to researchers driven insane by Irminsul,compared
Alhaitham,Capsule grants neither divine knowledge nor power,concluded
Traveler and Paimon,Sumeru City for Sabzeruz Festival,returned to
Alhaitham,dealing with Divine Knowledge Capsule or producing a report for the Sages,debated
The Morn a Thousand Roses Brings,Chapter III,is the second act in
The Morn a Thousand Roses Brings,Archon Quests,is part of
Traveler,Dunyarzad,recounts their escapades in Port Ormos to
Dunyarzad,accommodations,provides
Dehya,Sabzeruz Festival,sold her greatsword to donate towards
Dunyarzad,Eleazar,suffers from
Azar,laws,claims the festival violates
Azar,public art performances,bans
Traveler,Charcoal-Baked Ajilenakh Cake,eats
Traveler,a strange girl,chases
Nahida,Nahida,introduces herself as
Nahida,the samsara,asks the Traveler to break
Dehya,the samsara,suspects the sages are responsible for
Akasha,Traveler's mind,extracts information from
Akasha,massive brain,creates
"Traveler, Paimon, and Dehya",Akasha Terminals,remove
Nahida,Moon,compares self to
Dehya,new greatsword,uses
Traveler,theory about samsara,amends
Dehya,training dummy,shows
Traveler and Paimon,they are not in the real world,realize
Traveler and Paimon,leave the city,plan to
Nahida,Traveler already tried to leave city twice,reveals
Traveler,two days have passed,discovers
Traveler,city,left
Paimon,Traveler's disappearance,witnesses
Nahida,Akasha Terminal,modifies
Akasha,wisdom from dreams,compiles
Sages,rhetoric about dreams,spread
Samsara,consciousnesses into dream,puts
Traveler and Paimon,Nahida's identity,deduce
Dunyarzad's consciousness,,disappears
Nahida,voice that inspired Dunyarzad,was
Traveler and Paimon,Vihar is not the host,discover
Traveler,Dehya against Eremites,helps
Traveler,Dunyarzad's forgotten item,investigates
Paimon,Dunyarzad's diary,discovers
Dunyarzad,research on Lesser Lord Kusanali,compiled
Traveler and Paimon,Dance of Sabzeruz,watch
Azar and Setaria,Nilou,scold
Traveler,Azar and Setaria are puppets,confirms
Traveler,Nilou is dream host,realizes
Nilou,dance,performs
Traveler and Paimon,Dunyarzad's spirit,see
Dunyarzad,with intact mind,wakes up
Nahida,Katheryne,possesses
Nahida,finding Dunyarzad's consciousness,reveals
Nahida,Dunyarzad's dream,sustained
Traveler and Paimon,samsara,broke
Nahida,to investigate the sages,plans
Akasha,large event,unable to host
Katheryne,to her senses,returns
"Dreams, Emptiness, Deception",Archon Quest,Quest Type
"Dreams, Emptiness, Deception",Chapter III,Chapter
"Dreams, Emptiness, Deception",Act III,Act
"Dreams, Emptiness, Deception",The Morn a Thousand Roses Brings,Previous
"Dreams, Emptiness, Deception",King Deshret and the Three Magi,Next
"Dreams, Emptiness, Deception",Adventure Rank 35,Requirements
"Dreams, Emptiness, Deception",100,Rewards
Traveler,Nahida's body,finds themselves in
Traveler,Scaramouche's ascension,witnesses
Nahida,The Doctor,is captured by
Traveler,The Eremites,seeks help from
Traveler,Alhaitham,travels with
Traveler,Cyno,encounters
Traveler,Dehya,joins
Group,Sandstorm,shelters from
Candace,the group,warns
Traveler & Dehya,riftwolves,fight
Traveler,Village Keepers,learns about
Traveler & Cyno,Isak,help
King Deshret and the Three Magi,Chapter III,is the fourth act in
King Deshret and the Three Magi,Archon Quests,is part of
Traveler,Cyno,investigates with
Cyno,Sharkan and Makan,overhears
Sharkan and Makan,King Deshret's resurrection,reveal information about
Isak,his grandpa's house,brings the Traveler and Cyno to
Traveler,incense,is affected by
Cyno,incense,identifies
Cyno,Tighnari,is a friend of
Dehya,Caravan Ribat,suggests visiting
Traveler,Dehya,accompanies
Dehya,Wall of Samiel,expresses hatred for
Dehya,Zaki,meets with
Zaki,Delavar,informs
Dehya and Traveler,Delavar and Engur,defeat
Candace,radicals,interrogates
Radicals,masked man,reveal information about
Masked man,King Deshret's envoy,claims to be
Uncle Anpu,Akademiya,provides information about
Alhaitham,Shani lied,reveals that
Shani,screaming,heard
Traveler,monsters,eliminates
Alhaitham,entrance to Dar al-Shifa,unlocks
Alhaitham,Razak,recognizes
